Transaction_Amount,Transaction_Type,Hour,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent,is_night,is_business_hours,high_velocity,new_account,Amount_Category,Transaction_Type_enc,Device_Used_enc,Location_enc,Payment_Method_enc
1555.61,POS Payment,23,Unknown Device,Chicago,3,84,7,Net Banking,0,1,0,0,0,High,4,4,1,2
1596.43,ATM Withdrawal,19,Tablet,Seattle,1,40,1,Credit Card,0,0,0,0,0,High,0,2,7,0
2229.12,POS Payment,16,Tablet,Boston,1,111,5,Net Banking,0,0,1,0,0,High,4,2,0,2
3346.23,Online Purchase,18,Unknown,Unknown,3,60,13,Credit Card,0,0,0,1,0,High,3,3,8,0
3084.31,Bill Payment,19,Mobile,Seattle,3,38,12,Net Banking,0,0,0,1,0,High,2,1,7,2
4686.62,Online Purchase,19,Unknown,Miami,1,76,2,Debit Card,0,0,0,0,0,High,3,3,4,1
2590.99,Bill Payment,21,Desktop,Houston,4,61,14,Debit Card,0,0,0,1,0,High,2,0,2,1
2365.49,Bank Transfer,8,Unknown,New York,3,68,2,UPI,0,0,0,0,0,High,1,3,5,3
1071.01,ATM Withdrawal,17,Tablet,Los Angeles,2,11,5,Debit Card,0,0,1,0,1,High,0,2,3,1
3778.13,POS Payment,14,Tablet,Seattle,2,76,13,UPI,0,0,1,1,0,High,4,2,7,3
708.18,Bill Payment,9,Unknown Device,Houston,1,34,14,UPI,0,0,1,1,0,Medium,2,4,2,3
2458.21,POS Payment,1,Desktop,Miami,2,39,6,Credit Card,0,1,0,0,0,High,4,0,4,0
2109.5,Online Purchase,15,Desktop,Chicago,4,116,5,Debit Card,0,0,1,0,0,High,3,0,1,1
3293.21,Bank Transfer,15,Desktop,Houston,4,110,9,Debit Card,0,0,1,0,0,High,1,0,2,1
4588.52,Online Purchase,13,Tablet,San Francisco,3,26,4,UPI,0,0,1,0,1,High,3,2,6,3
4733.24,Bill Payment,4,Tablet,New York,1,102,8,Debit Card,0,1,0,0,0,High,2,2,5,1
843.16,ATM Withdrawal,4,Tablet,Seattle,0,25,14,Debit Card,0,1,0,1,1,Medium,0,2,7,1
1312.78,Bill Payment,15,Mobile,Seattle,2,39,6,UPI,0,0,1,0,0,High,2,1,7,3
4059.12,Bill Payment,15,Mobile,Houston,2,73,7,Net Banking,0,0,1,0,0,High,2,1,2,2
2593.81,Online Purchase,18,Mobile,Miami,1,12,2,Credit Card,0,0,0,0,1,High,3,1,4,0
2267.91,Bill Payment,5,Tablet,Houston,3,36,10,UPI,1,1,0,0,0,High,2,2,2,3
3554.57,ATM Withdrawal,10,Tablet,Chicago,4,113,1,Unknown,0,0,1,0,0,High,0,2,1,4
3011.62,Bank Transfer,22,Tablet,Boston,3,95,3,Debit Card,0,1,0,0,0,High,1,2,0,1
4853.72,Online Purchase,1,Mobile,Houston,4,85,7,Net Banking,1,1,0,0,0,High,3,1,2,2
2921.95,Bill Payment,15,Tablet,Unknown,4,6,10,Debit Card,0,0,1,0,1,High,2,2,8,1
2332.54,POS Payment,10,Tablet,Houston,3,28,5,Credit Card,0,0,1,0,1,High,4,2,2,0
2716.37,Bank Transfer,14,Mobile,Houston,2,63,4,Debit Card,0,0,1,0,0,High,1,1,2,1
4043.66,Online Purchase,12,Desktop,Chicago,0,95,8,Net Banking,1,0,1,0,0,High,3,0,1,2
3065.31,ATM Withdrawal,12,Desktop,Chicago,0,63,9,Credit Card,0,0,1,0,0,High,0,0,1,0
3237.01,ATM Withdrawal,16,Tablet,Miami,3,1,12,Credit Card,0,0,1,1,1,High,0,2,4,0
4857.34,Bank Transfer,7,Mobile,New York,0,115,9,Net Banking,0,0,0,0,0,High,1,1,5,2
3093.89,ATM Withdrawal,19,Desktop,San Francisco,2,79,6,Debit Card,0,0,0,0,0,High,0,0,6,1
1904.52,Online Purchase,22,Desktop,Miami,0,75,3,Net Banking,0,1,0,0,0,High,3,0,4,2
3458.17,Online Purchase,19,Desktop,New York,1,117,12,UPI,0,0,0,1,0,High,3,0,5,3
3299,Online Purchase,17,Desktop,Miami,3,102,11,Debit Card,0,0,1,0,0,High,3,0,4,1
74.17,Bill Payment,6,Tablet,Los Angeles,4,77,10,Unknown,0,0,0,0,0,Very Low,2,2,3,4
2339.31,ATM Withdrawal,6,Mobile,Unknown,3,76,5,Net Banking,0,0,0,0,0,High,0,1,8,2
3715.8,Bill Payment,18,Desktop,Miami,4,29,11,Net Banking,0,0,0,0,1,High,2,0,4,2
2497.71,ATM Withdrawal,18,Desktop,Boston,4,117,13,Credit Card,0,0,0,1,0,High,0,0,0,0
3899.21,ATM Withdrawal,12,Desktop,Chicago,2,40,1,Credit Card,1,0,1,0,0,High,0,0,1,0
2524.1,ATM Withdrawal,17,Desktop,Los Angeles,1,20,5,UPI,0,0,1,0,1,High,0,0,3,3
4916.69,POS Payment,12,Mobile,Miami,0,114,7,Debit Card,0,0,1,0,0,High,4,1,4,1
1467.99,Bill Payment,12,Mobile,Boston,3,74,7,Debit Card,0,0,1,0,0,High,2,1,0,1
465.15,Bank Transfer,2,Mobile,Los Angeles,0,75,13,Credit Card,0,1,0,1,0,Low,1,1,3,0
2152.91,Bill Payment,12,Desktop,Los Angeles,2,66,5,Credit Card,1,0,1,0,0,High,2,0,3,0
2524.1,ATM Withdrawal,3,Mobile,Miami,2,91,11,UPI,0,1,0,0,0,High,0,1,4,3
1748.72,Bank Transfer,1,Desktop,San Francisco,2,33,13,Credit Card,0,1,0,1,0,High,1,0,6,0
1215.19,Bank Transfer,12,Desktop,San Francisco,2,91,7,Net Banking,0,0,1,0,0,High,1,0,6,2
3361.93,Bank Transfer,12,Mobile,San Francisco,1,76,10,Net Banking,0,0,1,0,0,High,1,1,6,2
1888.74,POS Payment,0,Desktop,Chicago,1,90,10,Unknown,0,1,0,0,0,High,4,0,1,4
3158.69,Online Purchase,18,Mobile,Boston,1,77,3,Debit Card,0,0,0,0,0,High,3,1,0,1
3896.46,ATM Withdrawal,8,Unknown Device,Miami,0,10,10,Unknown,0,0,0,0,1,High,0,4,4,4
3806.21,ATM Withdrawal,11,Desktop,Miami,4,39,11,Net Banking,0,0,1,0,0,High,0,0,4,2
1879.67,Bill Payment,16,Desktop,Chicago,0,89,8,Net Banking,0,0,1,0,0,High,2,0,1,2
2841.65,Bank Transfer,22,Mobile,Seattle,2,17,4,Credit Card,0,1,0,0,1,High,1,1,7,0
2251.04,POS Payment,8,Desktop,Seattle,1,2,8,Debit Card,0,0,0,0,1,High,4,0,7,1
4354.67,Bank Transfer,7,Tablet,Miami,0,66,7,UPI,0,0,0,0,0,High,1,2,4,3
4394.4,Bill Payment,15,Desktop,Los Angeles,4,107,12,Credit Card,0,0,1,1,0,High,2,0,3,0
1721.99,Online Purchase,16,Tablet,Los Angeles,1,30,3,Debit Card,0,0,1,0,0,High,3,2,3,1
463.23,ATM Withdrawal,20,Mobile,San Francisco,3,106,12,Debit Card,1,0,0,1,0,Low,0,1,6,1
842.07,Bank Transfer,2,Mobile,Seattle,3,61,4,Net Banking,0,1,0,0,0,Medium,1,1,7,2
1838.17,ATM Withdrawal,5,Tablet,Miami,4,119,3,UPI,0,1,0,0,0,High,0,2,4,3
2823.43,Bill Payment,1,Tablet,Seattle,2,53,3,Credit Card,0,1,0,0,0,High,2,2,7,0
3285.65,Online Purchase,23,Mobile,Boston,0,80,3,Credit Card,0,1,0,0,0,High,3,1,0,0
1660.2,POS Payment,15,Tablet,New York,0,54,1,Unknown,0,0,1,0,0,High,4,2,5,4
3339.16,Online Purchase,4,Desktop,Seattle,4,14,10,Debit Card,0,1,0,0,1,High,3,0,7,1
4689.01,POS Payment,22,Tablet,San Francisco,4,105,6,UPI,0,1,0,0,0,High,4,2,6,3
3261.81,Bank Transfer,7,Mobile,Houston,3,3,3,UPI,0,0,0,0,1,High,1,1,2,3
797.03,Online Purchase,2,Desktop,New York,0,34,2,Debit Card,0,1,0,0,0,Medium,3,0,5,1
2900.45,Bank Transfer,0,Mobile,New York,4,15,1,Net Banking,0,1,0,0,1,High,1,1,5,2
2711.77,Online Purchase,9,Desktop,Miami,3,23,1,Net Banking,0,0,1,0,1,High,3,0,4,2
4354.15,Bank Transfer,23,Tablet,Miami,4,67,8,Debit Card,0,1,0,0,0,High,1,2,4,1
1754.76,Bill Payment,18,Tablet,San Francisco,4,101,8,Credit Card,0,0,0,0,0,High,2,2,6,0
2117.61,Bill Payment,7,Mobile,Los Angeles,2,36,11,UPI,0,0,0,0,0,High,2,1,3,3
2995.3,POS Payment,6,Tablet,Boston,2,98,9,Credit Card,0,0,0,0,0,High,4,2,0,0
2624.5,Online Purchase,4,Unknown,Seattle,3,76,8,UPI,0,1,0,0,0,High,3,3,7,3
3596.49,Online Purchase,11,Tablet,Chicago,2,48,6,Net Banking,0,0,1,0,0,High,3,2,1,2
206.74,POS Payment,15,Mobile,Los Angeles,4,82,3,Debit Card,0,0,1,0,0,Low,4,1,3,1
2819.76,Bank Transfer,20,Tablet,Miami,1,65,13,UPI,0,0,0,1,0,High,1,2,4,3
612.75,Online Purchase,9,Mobile,Boston,0,37,14,Net Banking,0,0,1,1,0,Medium,3,1,0,2
1579.47,POS Payment,17,Tablet,Los Angeles,0,44,12,Net Banking,0,0,1,1,0,High,4,2,3,2
3309.83,POS Payment,7,Desktop,Boston,1,38,3,Net Banking,0,0,0,0,0,High,4,0,0,2
791.28,Online Purchase,19,Desktop,Chicago,2,56,10,Credit Card,0,0,0,0,0,Medium,3,0,1,0
1547.66,ATM Withdrawal,15,Desktop,Chicago,2,68,1,UPI,0,0,1,0,0,High,0,0,1,3
3516.52,Bank Transfer,1,Tablet,Los Angeles,4,26,1,Net Banking,0,1,0,0,1,High,1,2,3,2
2524.1,ATM Withdrawal,20,Unknown,San Francisco,0,94,12,Credit Card,0,0,0,1,0,High,0,3,6,0
459.74,ATM Withdrawal,1,Desktop,Chicago,0,100,12,Debit Card,1,1,0,1,0,Low,0,0,1,1
2888.46,Bank Transfer,23,Tablet,New York,0,19,8,Unknown,0,1,0,0,1,High,1,2,5,4
740.54,Bill Payment,23,Mobile,Unknown,0,9,4,UPI,0,1,0,0,1,Medium,2,1,8,3
1265.1,Online Purchase,13,Unknown,Houston,0,95,4,Net Banking,0,0,1,0,0,High,3,3,2,2
2298.76,POS Payment,13,Mobile,San Francisco,3,14,4,Net Banking,0,0,1,0,1,High,4,1,6,2
551.19,Online Purchase,9,Tablet,Los Angeles,2,17,5,Unknown,0,0,1,0,1,Medium,3,2,3,4
4968.27,ATM Withdrawal,9,Mobile,Houston,0,30,12,UPI,1,0,1,1,0,High,0,1,2,3
831.02,Bill Payment,10,Tablet,Seattle,0,64,7,Net Banking,0,0,1,0,0,Medium,2,2,7,2
3907.66,Bill Payment,11,Desktop,Los Angeles,0,6,7,Debit Card,0,0,1,0,1,High,2,0,3,1
4150.05,Online Purchase,9,Tablet,Boston,2,17,3,Net Banking,0,0,1,0,1,High,3,2,0,2
4972.35,ATM Withdrawal,23,Mobile,Boston,2,51,1,Credit Card,0,1,0,0,0,High,0,1,0,0
2146.12,Bank Transfer,14,Unknown,Unknown,0,62,10,Debit Card,0,0,1,0,0,High,1,3,8,1
4371.1,POS Payment,6,Unknown,Chicago,4,35,8,Credit Card,0,0,0,0,0,High,4,3,1,0
4787.91,Bill Payment,10,Desktop,Seattle,2,48,2,UPI,0,0,1,0,0,High,2,0,7,3
868.61,POS Payment,19,Tablet,Seattle,1,54,1,UPI,0,0,0,0,0,Medium,4,2,7,3
2399.78,ATM Withdrawal,22,Desktop,Seattle,4,22,7,Unknown,0,1,0,0,1,High,0,0,7,4
304.75,Online Purchase,13,Desktop,New York,2,21,6,Credit Card,0,0,1,0,1,Low,3,0,5,0
3105.52,ATM Withdrawal,10,Mobile,San Francisco,3,59,14,UPI,0,0,1,1,0,High,0,1,6,3
2909.12,Bill Payment,13,Desktop,Houston,4,117,1,Debit Card,0,0,1,0,0,High,2,0,2,1
1024.61,Online Purchase,10,Tablet,Unknown,1,83,4,Credit Card,0,0,1,0,0,High,3,2,8,0
3990.52,POS Payment,6,Desktop,Chicago,4,75,5,UPI,0,0,0,0,0,High,4,0,1,3
191.16,Bill Payment,11,Unknown,Seattle,3,16,8,Debit Card,0,0,1,0,1,Low,2,3,7,1
4032.11,Online Purchase,16,Tablet,San Francisco,4,40,3,Net Banking,0,0,1,0,0,High,3,2,6,2
138.09,Online Purchase,12,Mobile,San Francisco,1,35,3,Net Banking,0,0,1,0,0,Low,3,1,6,2
3285.86,POS Payment,12,Mobile,Houston,3,115,11,UPI,0,0,1,0,0,High,4,1,2,3
398.45,ATM Withdrawal,17,Mobile,Houston,3,71,12,UPI,0,0,1,1,0,Low,0,1,2,3
1259.87,ATM Withdrawal,22,Mobile,Miami,1,69,9,UPI,0,1,0,0,0,High,0,1,4,3
2524.1,ATM Withdrawal,12,Desktop,Unknown,1,108,6,Debit Card,0,0,1,0,0,High,0,0,8,1
1405.62,Bill Payment,3,Mobile,New York,1,22,10,Debit Card,0,1,0,0,1,High,2,1,5,1
2558.31,Online Purchase,7,Desktop,Seattle,4,50,14,Credit Card,0,0,0,1,0,High,3,0,7,0
4576.67,Bank Transfer,5,Tablet,San Francisco,3,81,11,UPI,0,1,0,0,0,High,1,2,6,3
252.92,Bank Transfer,12,Unknown Device,Seattle,0,19,6,Debit Card,0,0,1,0,1,Low,1,4,7,1
4056.34,POS Payment,22,Mobile,San Francisco,1,4,13,Net Banking,0,1,0,1,1,High,4,1,6,2
331.03,Online Purchase,11,Tablet,New York,1,24,5,Unknown,0,0,1,0,1,Low,3,2,5,4
638.34,Bill Payment,21,Mobile,Chicago,2,24,1,Unknown,0,0,0,0,1,Medium,2,1,1,4
601,Online Purchase,12,Tablet,Los Angeles,3,109,2,Credit Card,0,0,1,0,0,Medium,3,2,3,0
4970.54,POS Payment,18,Tablet,Chicago,1,117,2,UPI,0,0,0,0,0,High,4,2,1,3
905.03,Bank Transfer,1,Mobile,Houston,0,63,13,Net Banking,0,1,0,1,0,Medium,1,1,2,2
4484.33,Bill Payment,5,Desktop,Chicago,4,56,2,UPI,1,1,0,0,0,High,2,0,1,3
4954.71,Bank Transfer,8,Mobile,San Francisco,4,99,7,Net Banking,1,0,0,0,0,High,1,1,6,2
1922,ATM Withdrawal,11,Tablet,Chicago,4,107,8,Debit Card,0,0,1,0,0,High,0,2,1,1
3157.09,POS Payment,14,Desktop,San Francisco,2,99,14,Credit Card,0,0,1,1,0,High,4,0,6,0
3896.56,Bank Transfer,4,Mobile,San Francisco,1,9,12,Debit Card,0,1,0,1,1,High,1,1,6,1
1966.26,Bill Payment,12,Mobile,Miami,1,86,14,Credit Card,0,0,1,1,0,High,2,1,4,0
813.26,Online Purchase,17,Unknown,Chicago,0,32,9,Debit Card,0,0,1,0,0,Medium,3,3,1,1
2171.64,POS Payment,9,Mobile,New York,2,90,6,UPI,0,0,1,0,0,High,4,1,5,3
3860.58,Bank Transfer,20,Mobile,San Francisco,1,92,1,Net Banking,0,0,0,0,0,High,1,1,6,2
3904.91,ATM Withdrawal,19,Tablet,Unknown,1,22,12,UPI,0,0,0,1,1,High,0,2,8,3
1156.54,Bank Transfer,10,Mobile,Miami,3,114,5,Debit Card,0,0,1,0,0,High,1,1,4,1
878.95,Bill Payment,8,Tablet,Los Angeles,3,83,11,UPI,0,0,0,0,0,Medium,2,2,3,3
4603.2,ATM Withdrawal,12,Desktop,Houston,4,74,12,Debit Card,0,0,1,1,0,High,0,0,2,1
224.78,ATM Withdrawal,12,Unknown,Chicago,2,98,5,UPI,0,0,1,0,0,Low,0,3,1,3
3675.02,POS Payment,10,Mobile,Seattle,4,63,14,Credit Card,0,0,1,1,0,High,4,1,7,0
236.87,Bill Payment,23,Desktop,Seattle,4,4,1,UPI,0,1,0,0,1,Low,2,0,7,3
4190.31,Bill Payment,8,Unknown,Boston,3,4,11,Net Banking,0,0,0,0,1,High,2,3,0,2
4527.55,ATM Withdrawal,1,Desktop,Houston,4,89,10,Debit Card,1,1,0,0,0,High,0,0,2,1
1490.61,Online Purchase,8,Tablet,Boston,1,74,8,Unknown,0,0,0,0,0,High,3,2,0,4
374.31,Online Purchase,5,Mobile,Los Angeles,3,46,3,Debit Card,0,1,0,0,0,Low,3,1,3,1
2406.02,POS Payment,6,Mobile,Chicago,1,111,11,UPI,0,0,0,0,0,High,4,1,1,3
1495.82,POS Payment,3,Desktop,Houston,0,75,2,Net Banking,0,1,0,0,0,High,4,0,2,2
2088.6,POS Payment,12,Tablet,Miami,1,2,14,Net Banking,0,0,1,1,1,High,4,2,4,2
2524.1,POS Payment,5,Mobile,New York,3,5,8,Debit Card,0,1,0,0,1,High,4,1,5,1
1053.08,ATM Withdrawal,0,Desktop,Miami,3,111,7,Debit Card,1,1,0,0,0,High,0,0,4,1
1787.97,POS Payment,23,Mobile,San Francisco,1,34,4,Credit Card,0,1,0,0,0,High,4,1,6,0
3913.9,Online Purchase,11,Mobile,Miami,4,11,1,Credit Card,0,0,1,0,1,High,3,1,4,0
3220.59,Bank Transfer,18,Tablet,San Francisco,4,35,10,Net Banking,0,0,0,0,0,High,1,2,6,2
1634.75,Online Purchase,17,Desktop,Boston,2,36,9,UPI,0,0,1,0,0,High,3,0,0,3
3323.19,POS Payment,3,Desktop,Boston,4,11,7,Debit Card,0,1,0,0,1,High,4,0,0,1
3827.74,ATM Withdrawal,12,Desktop,Los Angeles,3,106,4,Debit Card,0,0,1,0,0,High,0,0,3,1
2964.47,Bill Payment,18,Tablet,Houston,2,38,6,Net Banking,0,0,0,0,0,High,2,2,2,2
1201.29,Bank Transfer,3,Mobile,New York,4,26,6,Debit Card,0,1,0,0,1,High,1,1,5,1
6.23,Bank Transfer,7,Desktop,Miami,0,56,4,Net Banking,0,0,0,0,0,Very Low,1,0,4,2
4015.23,POS Payment,13,Mobile,New York,3,37,14,Credit Card,0,0,1,1,0,High,4,1,5,0
4114.05,POS Payment,0,Mobile,Unknown,4,65,13,Credit Card,0,1,0,1,0,High,4,1,8,0
3489.53,Bank Transfer,1,Desktop,Seattle,0,23,4,Credit Card,0,1,0,0,1,High,1,0,7,0
2524.1,ATM Withdrawal,9,Mobile,Seattle,4,119,7,Credit Card,0,0,1,0,0,High,0,1,7,0
2524.1,Bank Transfer,12,Unknown,Los Angeles,2,36,14,Unknown,0,0,1,1,0,High,1,3,3,4
4106,ATM Withdrawal,20,Desktop,Houston,2,50,8,Credit Card,0,0,0,0,0,High,0,0,2,0
1951.39,Online Purchase,6,Desktop,Unknown,3,78,11,UPI,0,0,0,0,0,High,3,0,8,3
994.01,POS Payment,6,Mobile,Seattle,1,51,10,Credit Card,0,0,0,0,0,Medium,4,1,7,0
2940.2,ATM Withdrawal,20,Unknown,Chicago,1,17,7,Unknown,0,0,0,0,1,High,0,3,1,4
2524.1,Bank Transfer,0,Desktop,Seattle,0,114,5,Credit Card,0,1,0,0,0,High,1,0,7,0
2524.1,Online Purchase,14,Tablet,New York,4,74,14,Unknown,0,0,1,1,0,High,3,2,5,4
2986.77,Bank Transfer,16,Mobile,Chicago,3,59,12,Credit Card,0,0,1,1,0,High,1,1,1,0
3217.65,Online Purchase,21,Tablet,New York,2,82,14,UPI,0,0,0,1,0,High,3,2,5,3
3013.82,Bill Payment,23,Desktop,San Francisco,0,92,5,UPI,1,1,0,0,0,High,2,0,6,3
3251.92,Online Purchase,23,Mobile,Miami,1,102,6,UPI,0,1,0,0,0,High,3,1,4,3
3158.72,ATM Withdrawal,16,Tablet,Miami,1,79,11,UPI,0,0,1,0,0,High,0,2,4,3
656.37,Bill Payment,20,Desktop,Miami,4,20,6,Net Banking,0,0,0,0,1,Medium,2,0,4,2
1178.51,Online Purchase,19,Desktop,San Francisco,4,32,9,Credit Card,0,0,0,0,0,High,3,0,6,0
3096.88,Online Purchase,1,Tablet,Boston,3,100,8,Credit Card,0,1,0,0,0,High,3,2,0,0
93.38,ATM Withdrawal,8,Tablet,Boston,0,1,4,Credit Card,0,0,0,0,1,Very Low,0,2,0,0
3175.55,POS Payment,11,Mobile,New York,4,26,8,Debit Card,0,0,1,0,1,High,4,1,5,1
3328.61,POS Payment,18,Desktop,New York,0,16,5,Net Banking,0,0,0,0,1,High,4,0,5,2
1199.68,POS Payment,12,Mobile,Miami,3,22,8,Credit Card,0,0,1,0,1,High,4,1,4,0
2992.67,Bill Payment,18,Tablet,Miami,2,84,11,Debit Card,0,0,0,0,0,High,2,2,4,1
2672.78,POS Payment,9,Desktop,New York,4,17,1,Credit Card,0,0,1,0,1,High,4,0,5,0
1307.15,Bill Payment,6,Mobile,Boston,1,49,12,Debit Card,0,0,0,1,0,High,2,1,0,1
2317.56,POS Payment,11,Mobile,San Francisco,2,56,8,UPI,0,0,1,0,0,High,4,1,6,3
4548.57,ATM Withdrawal,9,Tablet,Boston,2,112,9,Net Banking,0,0,1,0,0,High,0,2,0,2
49997.8,Bill Payment,1,Mobile,Seattle,3,72,12,UPI,0,1,0,1,0,Very High,2,1,7,3
3151.07,POS Payment,0,Mobile,New York,1,117,2,Net Banking,0,1,0,0,0,High,4,1,5,2
181.58,Bank Transfer,14,Desktop,Seattle,0,98,6,UPI,0,0,1,0,0,Low,1,0,7,3
393.61,POS Payment,12,Tablet,Houston,3,57,5,Net Banking,0,0,1,0,0,Low,4,2,2,2
411.13,Bank Transfer,21,Mobile,San Francisco,3,75,14,Debit Card,0,0,0,1,0,Low,1,1,6,1
3892.31,Bank Transfer,1,Mobile,San Francisco,4,82,14,Credit Card,0,1,0,1,0,High,1,1,6,0
1754.53,Online Purchase,13,Desktop,New York,4,93,4,UPI,0,0,1,0,0,High,3,0,5,3
1141.92,POS Payment,0,Tablet,New York,3,93,12,UPI,0,1,0,1,0,High,4,2,5,3
3737.89,Online Purchase,1,Desktop,Unknown,2,53,3,UPI,0,1,0,0,0,High,3,0,8,3
853.95,Online Purchase,13,Tablet,Boston,3,62,10,UPI,0,0,1,0,0,Medium,3,2,0,3
1236.23,Bill Payment,18,Tablet,Seattle,4,54,5,Credit Card,0,0,0,0,0,High,2,2,7,0
2524.1,Bank Transfer,12,Desktop,Chicago,4,76,9,UPI,0,0,1,0,0,High,1,0,1,3
1660.53,Online Purchase,10,Mobile,San Francisco,2,37,14,Debit Card,0,0,1,1,0,High,3,1,6,1
2929.03,POS Payment,4,Desktop,Chicago,2,66,12,Net Banking,0,1,0,1,0,High,4,0,1,2
1692.51,ATM Withdrawal,8,Desktop,Houston,3,105,1,Net Banking,0,0,0,0,0,High,0,0,2,2
1967.79,POS Payment,23,Tablet,New York,2,32,5,Debit Card,0,1,0,0,0,High,4,2,5,1
4315.12,Bank Transfer,9,Desktop,Houston,0,58,11,Credit Card,0,0,1,0,0,High,1,0,2,0
4423.23,Bill Payment,12,Tablet,New York,1,39,6,UPI,0,0,1,0,0,High,2,2,5,3
4139.42,POS Payment,8,Desktop,Los Angeles,2,12,8,Debit Card,0,0,0,0,1,High,4,0,3,1
4324.83,POS Payment,5,Tablet,New York,1,119,9,UPI,0,1,0,0,0,High,4,2,5,3
2850.79,Online Purchase,18,Desktop,Chicago,3,106,10,Unknown,0,0,0,0,0,High,3,0,1,4
3232.93,POS Payment,1,Mobile,Boston,0,26,9,Debit Card,0,1,0,0,1,High,4,1,0,1
2788.08,Bank Transfer,5,Tablet,Houston,4,55,13,Net Banking,0,1,0,1,0,High,1,2,2,2
3929.01,ATM Withdrawal,2,Desktop,Boston,0,89,1,Unknown,0,1,0,0,0,High,0,0,0,4
2757.25,Online Purchase,19,Mobile,Los Angeles,1,64,2,Credit Card,1,0,0,0,0,High,3,1,3,0
559.83,POS Payment,7,Desktop,Seattle,2,86,11,Credit Card,0,0,0,0,0,Medium,4,0,7,0
4048.85,ATM Withdrawal,0,Tablet,Seattle,3,93,8,Net Banking,0,1,0,0,0,High,0,2,7,2
3804.12,POS Payment,9,Mobile,Boston,2,110,14,Net Banking,0,0,1,1,0,High,4,1,0,2
4102.4,Bill Payment,18,Desktop,Miami,0,105,3,Credit Card,0,0,0,0,0,High,2,0,4,0
956.2,Bank Transfer,4,Mobile,New York,3,54,1,Credit Card,0,1,0,0,0,Medium,1,1,5,0
1361.73,Bill Payment,6,Mobile,San Francisco,3,72,5,Credit Card,0,0,0,0,0,High,2,1,6,0
2524.1,Online Purchase,2,Tablet,Houston,0,66,9,UPI,0,1,0,0,0,High,3,2,2,3
2542.86,ATM Withdrawal,7,Unknown Device,Boston,3,14,13,Debit Card,0,0,0,1,1,High,0,4,0,1
673.72,Bill Payment,8,Desktop,San Francisco,0,56,3,UPI,0,0,0,0,0,Medium,2,0,6,3
1929.98,POS Payment,17,Unknown Device,Los Angeles,3,67,11,UPI,0,0,1,0,0,High,4,4,3,3
914.88,Bill Payment,6,Tablet,Los Angeles,4,113,4,UPI,0,0,0,0,0,Medium,2,2,3,3
1327.49,ATM Withdrawal,20,Mobile,Seattle,4,31,10,Credit Card,0,0,0,0,0,High,0,1,7,0
3533.41,POS Payment,5,Desktop,Miami,3,68,9,Unknown,0,1,0,0,0,High,4,0,4,4
4274.78,Online Purchase,12,Tablet,Seattle,4,51,10,UPI,0,0,1,0,0,High,3,2,7,3
119.41,Bill Payment,1,Tablet,Los Angeles,2,46,1,Unknown,0,1,0,0,0,Low,2,2,3,4
2831.66,Bank Transfer,22,Mobile,Chicago,2,66,5,Debit Card,0,1,0,0,0,High,1,1,1,1
185.12,ATM Withdrawal,20,Desktop,Boston,0,44,11,Credit Card,0,0,0,0,0,Low,0,0,0,0
430.82,Bank Transfer,0,Tablet,Boston,4,48,5,Net Banking,0,1,0,0,0,Low,1,2,0,2
3526.89,POS Payment,19,Mobile,Houston,0,104,9,Debit Card,0,0,0,0,0,High,4,1,2,1
3679.36,Bank Transfer,21,Tablet,Miami,3,108,11,Unknown,0,0,0,0,0,High,1,2,4,4
2524.1,ATM Withdrawal,23,Mobile,Chicago,4,98,11,Debit Card,0,1,0,0,0,High,0,1,1,1
2373.84,ATM Withdrawal,4,Tablet,Unknown,4,4,7,Credit Card,0,1,0,0,1,High,0,2,8,0
4299.74,Bank Transfer,2,Desktop,Los Angeles,1,94,12,Net Banking,0,1,0,1,0,High,1,0,3,2
838.36,Bank Transfer,1,Tablet,Chicago,0,51,3,UPI,0,1,0,0,0,Medium,1,2,1,3
1252.33,POS Payment,1,Desktop,Los Angeles,0,11,6,Credit Card,0,1,0,0,1,High,4,0,3,0
676.84,Bank Transfer,18,Unknown,Miami,2,43,6,UPI,1,0,0,0,0,Medium,1,3,4,3
3988.7,ATM Withdrawal,2,Mobile,Unknown,0,114,12,UPI,1,1,0,1,0,High,0,1,8,3
1147.23,Bank Transfer,2,Tablet,Seattle,0,27,10,UPI,0,1,0,0,1,High,1,2,7,3
781.78,Online Purchase,18,Unknown,Seattle,3,57,13,UPI,0,0,0,1,0,Medium,3,3,7,3
3117.44,ATM Withdrawal,12,Tablet,San Francisco,2,87,8,Net Banking,0,0,1,0,0,High,0,2,6,2
390.02,ATM Withdrawal,7,Mobile,Chicago,4,80,9,Credit Card,0,0,0,0,0,Low,0,1,1,0
229.28,POS Payment,21,Tablet,Boston,2,87,13,Credit Card,0,0,0,1,0,Low,4,2,0,0
538.05,POS Payment,19,Desktop,Boston,4,19,2,Debit Card,0,0,0,0,1,Medium,4,0,0,1
6.2,Bill Payment,2,Desktop,New York,4,116,9,Net Banking,0,1,0,0,0,Very Low,2,0,5,2
3486.47,POS Payment,16,Desktop,Houston,4,43,6,UPI,0,0,1,0,0,High,4,0,2,3
2524.1,Online Purchase,18,Mobile,Seattle,1,51,4,Net Banking,0,0,0,0,0,High,3,1,7,2
